HahaScaling (Scaling Vectors):
-0.4328203 -2.567604 -1.157567
-1.056434 -2.381035 -1.255152
-1.603875 -2.503273 -0.7437149
-0.7088993 -2.581058 -0.02885848
1.549766 -2.410665 -2.040656
-0.3307574 -2.816777 -1.815079
-1.040335 -2.502602 -1.985612
-1.135118 -0.7661363 -0.3362101
-1.835403 -2.043022 -1.611647
-0.5789241 -2.662091 -2.214383
-1.362972 -1.614566 -1.034133
-0.8055272 -2.26099 -1.263969
-1.920613 -2.594261 -1.472995
-0.9149584 -2.134988 -1.286561
-0.7669443 -2.007648 0.1415709
-0.5823509 -1.94768 0.6143595
-0.5607613 -3.715771 1.172402
-2.095448 -3.184946 -1.909478
-1.242168 -2.22763 -0.254283
-0.4411878 -2.835914 -1.923306
-0.9822849 -1.774659 -1.14758
-0.9935856 -1.95958 -0.4084953
-1.710172 -2.840832 -1.591103
-0.9537759 -2.308846 -1.018329
-1.629661 -2.204354 -1.114611
-0.626831 -1.629862 -1.172645
-0.7350349 -2.394754 -0.2186733
-1.018225 -3.113383 -1.172941
-0.3999841 -3.028098 0.4122782
-1.206816 -1.226066 -1.967357
-2.272416 -2.779251 0.3812526
-0.4728644 -1.778988 -1.37053
-0.8991741 -2.950211 0.5748682
-1.911564 -2.225957 -0.2967285
2.583156 -0.8529339 -2.158313
-2.394478 -3.523158 -1.704445
-1.533923 -2.667615 -1.098492
0.631404 -1.555211 -1.201388
-0.6883612 -1.304796 -0.2982938
0.9956267 -2.065059 -0.4262234
-0.5321648 -2.808148 -0.9263385
-1.147006 -2.773772 -0.8109404
-0.7531776 -2.647429 -0.6057188
-1.347169 -2.719827 -2.29823
-0.3238539 -2.788658 -1.431377
-1.083951 -2.458211 0.6561328
-1.230658 -2.448961 -0.9126657
-0.3776509 -2.011498 0.6908658
-1.415004 -2.769267 -1.458802
-1.225324 -1.892343 -1.250184
-0.9256353 -1.707995 -0.7983924
-1.774551 -3.214346 -2.132896
-1.580642 -2.013833 -1.411604
-1.746364 -0.04900361 -0.8562052
-0.4008633 -1.843932 -0.5642161
0.0889679 -2.846322 -1.699671
-0.07431055 -2.421091 -2.42735
-0.5418968 -2.566466 -1.478895
-1.287373 -2.343622 0.1242601
-1.071893 -1.966608 -0.7365918
0.9182 -1.669396 -0.8315639
-1.687325 -3.000049 -2.281243
-1.129269 -2.606246 -1.852197
0.008278484 -2.539417 0.2193074
1.012789 -3.613992 1.101979
-1.158979 -2.314826 -0.8135609
0.01841164 -2.136697 -0.8269235
-1.691594 -2.439408 0.3278823
-1.71387 -3.226247 -1.739342
-0.8156844 -2.892292 -1.673093
0.6330085 -2.356302 -1.87175
0.1193768 -1.752243 -0.3097682
0.1344355 -3.550165 -1.658526
-1.545817 -3.126556 -1.711617
-1.829683 -2.202953 -0.4117539
-0.8880791 -2.334322 0.6503233
-1.006323 -1.70996 -1.217775
-1.221629 -2.874065 -2.073622
-0.7912152 -2.295101 -0.8884354
0.08659829 -1.910058 1.266374
-1.932033 -2.992661 1.745975
