RBuffer (Rotation Quaternions):
-0.3953087 0.562126 -0.4761696 0.5486419
0.5751104 -0.5524761 0.1999831 -0.5692318
-0.4595379 0.5983396 0.6510303 -0.08351111
-0.6727962 -0.01672311 -0.2622152 0.6915986
0.61775 -0.5657406 -0.1455189 -0.5264473
-0.2963921 -0.4517235 0.6688761 -0.5105901
-0.1122885 0.08652259 0.9502503 0.2773618
-0.2924075 0.2290907 0.8047739 0.4629839
0.7525574 0.0218264 -0.3462517 -0.5597237
-0.06210516 0.5742941 0.8139845 0.06130631
0.9786219 -0.1055155 -0.1196743 -0.1297827
-0.1725238 0.7515421 0.6367052 0.005168573
0.6561852 -0.01535038 0.3948038 -0.6428959
-0.1985225 0.6113125 0.7464754 0.1722217
0.8424483 0.5094822 -0.01428075 0.1746561
0.2068535 0.035487 0.7285263 -0.6520749
-0.6872072 -0.05594558 0.0285045 0.7237428
0.6703021 0.3203488 0.2680152 -0.6133836
0.8724077 0.4516176 0.1394148 -0.1245383
-0.05152161 -0.1174328 0.7216258 -0.6803023
-0.09852521 0.1786632 0.8134111 0.5447335
-0.001045992 0.698395 0.7062323 -0.1161004
0.7744759 0.02287696 -0.1081377 -0.6228723
-0.3464433 0.5575669 0.7284933 -0.1959429
-0.4317442 0.4229228 0.7040216 -0.3729436
-0.1069938 0.1532458 0.833587 0.5198083
-0.5841296 0.3372217 -0.08174001 0.7337524
-0.3861662 0.6024546 -0.2177705 0.6637018
-0.2315738 0.6655642 0.7072906 0.05601719
-0.6071922 -0.3934265 -0.3199956 0.6116664
-0.03713851 0.02050469 -0.6563964 0.7532224
-0.2854831 0.7329027 0.5924251 0.1743141
-0.4334387 0.5539426 0.6218876 0.3442879
0.6881778 0.2793518 -0.3564681 -0.5668373
0.5931221 0.2126745 0.6086044 0.4822619
0.2120912 0.1867512 -0.5795982 0.7643344
-0.1608471 0.3085722 0.7883457 0.5073682
0.1778167 -0.5221463 0.09887623 0.8282318
0.6303255 -0.374731 -0.5977022 0.3240654
0.8049659 -0.4909059 -0.3330115 0.01202285
-0.1697997 0.5883972 0.5382408 -0.5790109
0.6331601 0.7386521 0.08872885 -0.2136085
0.5832453 0.733182 0.1415063 -0.3197575
0.6216329 -0.2780767 0.254006 0.6868236
-0.4355761 0.4915537 -0.4396207 0.6126843
-0.1097888 -0.1383096 0.968205 -0.1771892
0.657003 -0.2440642 0.369084 -0.6103743
-0.1637773 -0.5801001 0.7034739 -0.376544
-0.1587047 0.3220114 0.754833 0.5489521
-0.1903067 0.2823298 0.7867496 0.514877
-0.5046847 0.05576915 -0.6034027 0.6148887
-0.03652847 0.4808808 0.728173 -0.4870147
-0.4991679 0.5007288 -0.4496088 0.5458515
0.3186468 0.1828791 0.805661 -0.4646825
0.8291885 0.1705774 0.4775361 0.2351786
-0.3558646 0.09901639 0.2750283 0.8876461
-0.4005882 -0.5166564 0.7479504 0.1147405
0.6337421 0.6854379 0.122077 -0.3371097
0.8209815 -0.3864574 0.1921966 -0.3737654
0.4461962 -0.3173739 0.7280259 0.4125058
0.7240649 -0.2512817 0.3768653 0.5201539
0.2479568 -0.01458333 0.5995812 0.7607937
-0.1004317 -0.07237583 -0.6429943 0.7557999
-0.3861955 0.5922775 -0.1600504 0.6887991
0.09426756 0.4057428 0.8469117 -0.3304952
-0.2472129 0.2333555 0.8493186 0.4038425
-0.343027 -0.5628971 0.7257894 -0.1967457
-0.4239515 -0.08962341 0.8900564 -0.1415357
0.3161793 0.2706677 -0.6310202 0.6546624
-0.6481919 0.1976532 -0.2343742 0.6970287
0.1288435 0.6641587 -0.628932 0.3830627
0.6001462 0.3264078 -0.5357034 0.4962904
-0.3044769 -0.4937709 -0.07111143 0.8114353
-0.4965785 0.2859417 -0.2096844 0.7922623
0.6169902 -0.4511102 0.3166828 0.5617246
-0.5347971 0.542713 -0.4716372 0.4438614
-0.02215771 0.04970384 0.8422007 0.5364107
-0.21206 0.2795274 0.8846921 0.3069446
-0.4280501 0.6736629 -0.3338981 0.5014613
-0.3626949 0.6956605 -0.3607817 0.5043268
0.6595343 0.7202711 0.1731756 -0.1274135
-0.186156 -0.0875197 -0.3974617 0.8942653
-0.2286847 -0.4153585 0.7306909 -0.4911936
-0.355083 -0.3188568 -0.547144 0.6876626
0.8161787 -0.01347349 0.114429 -0.5661949
-0.05239907 0.07745939 0.6326135 0.7688007
0.204431 0.703174 -0.6002386 0.321664
-0.1856935 -0.3957579 0.7094563 -0.5527796
-0.3749835 -0.3690583 -0.5403627 0.6566516
0.7607582 0.6125197 0.07275296 -0.2019245
0.2075242 0.5981827 0.7560436 -0.1658592
-0.4760461 0.4858468 0.634133 0.3677066
-0.1351144 0.5896326 -0.5301762 0.5941301
0.6743651 -0.2135009 0.4922459 -0.5072899
-0.3515491 0.3069686 0.7834271 0.4103968
0.5281457 0.5152411 0.4892038 -0.4650466
0.0199997 0.6673625 -0.6573772 0.3494031
0.7441863 -0.3343083 -0.3021431 -0.4930865
0.7133546 -0.0463124 0.1233659 0.688303
-0.2871335 0.6489117 -0.08908805 0.6989501
0.3363668 -0.03759345 0.6842586 -0.6459367
-0.4562374 -0.06839371 -0.4734071 0.7503702
-0.5001057 0.6184484 -0.5860615 -0.1547502
0.3042575 -0.4586418 -0.2808118 0.7862695
0.5920545 0.1728333 0.6770316 0.4015323
0.6220921 -0.3361632 0.579286 -0.4054915
0.02021546 -0.08009379 0.8497869 -0.5206136
-0.1297629 0.016953 0.0191738 0.9912146
0.122968 0.7112601 0.6913918 -0.03106697
0.1167045 0.4216625 -0.6217988 0.6495745
-0.2381524 0.6682778 -0.04378285 0.7033998
-0.09852363 0.6978405 0.18529 -0.6848207
-0.07180914 0.8163887 0.5379971 -0.1972612
-0.3076212 0.7001821 0.6310973 0.1297323
0.1654529 0.9808197 0.06042854 -0.08346467
0.7478335 -0.1877721 -0.150315 -0.6187826
0.1923971 0.0793784 0.7166705 -0.6656319
-0.4099797 -0.02820736 -0.624595 0.6640797
0.2443034 0.06618407 0.7309586 -0.6337467
0.6037248 -0.3681329 0.5346099 -0.4628032
-0.05599137 0.0579306 0.4452419 0.8917783
-0.5917208 0.6935326 0.4081338 0.04801954
0.2110491 0.05187634 0.8340352 -0.507102
-0.4373832 0.109517 -0.6244103 0.6378194
0.1224289 0.7123438 0.1293059 -0.6788647
0.08582544 0.08461158 0.8573844 -0.5003666
0.8924484 -0.4465509 -0.03175688 -0.05585176
0.7492752 -0.4556592 -0.1265517 -0.4636226
0.08194838 0.1182019 0.8330218 -0.5342167
0.1282095 0.1013772 0.8108252 -0.562003
0.07414948 0.7044519 0.5634897 -0.4251219
0.1643642 0.6998442 0.1689202 -0.674291
0.02576643 0.7066571 0.1103177 0.698428
0.1276886 0.795891 0.1287989 -0.5776365
-0.300593 0.2180856 0.5977134 0.7105077
-0.1657405 0.6879517 0.1040194 0.6988794
0.03986646 0.7039768 0.1556787 -0.691803
0.04646967 0.9961196 0.05272068 -0.05297837
0.7141809 0.1323182 -0.2678593 -0.6329998
-0.04079599 0.7096546 0.7033021 0.009601045
-0.0584766 0.07033761 0.3433769 0.9347327
-0.2183598 -0.07984862 -0.5044473 0.8315504
0.7288247 -0.1335514 -0.05378179 -0.6693922
-0.05931207 -0.642901 0.7287808 -0.2281205
