TBuffer (Translation Vectors):
-0.09098083 0.312726 -0.02758339
-0.0912592 0.2988629 -0.02280467
-0.08093998 0.2786623 0.001223581
-0.08909776 0.288847 -0.0172408
-0.08621814 0.2921099 -0.0162252
-0.09224606 0.3173838 -0.02712521
-0.08367088 0.2796697 -0.008932501
-0.0918365 0.2995602 -0.0260674
-0.06310037 0.2814744 -0.04784122
-0.08554709 0.2816798 -0.00841496
-0.08025888 0.2771416 -0.001138518
-0.0880418 0.3173026 -0.02444187
-0.08279267 0.2791974 -0.0009980036
-0.08088322 0.335512 -0.03070544
-0.08848067 0.297942 -0.02550332
-0.08528798 0.3147838 -0.01738941
-0.09482308 0.3178946 -0.02882413
-0.08218391 0.3481522 -0.03231412
-0.02177897 0.2738301 -0.08933692
-0.09323995 0.3171346 -0.02643595
-0.03252245 0.2975582 -0.09760204
-0.07535667 0.3092767 0.004383469
-0.07541134 0.3138574 -0.04410514
-0.03434726 0.2035748 0.03520646
-0.006971119 0.3521915 0.09924813
-0.03116064 0.2872823 -0.09352204
-0.005419995 0.341274 0.1008058
-0.01371926 0.4135748 0.07870447
-0.07885927 0.3537153 0.008467133
-0.07521906 0.3132998 0.01648984
-0.09279575 0.3095374 -0.02562601
-0.07855417 0.3782092 0.009102526
-0.08241794 0.3461078 -0.01781045
-0.09330183 0.3098436 -0.02990098
-0.08785552 0.2946296 -0.02358386
0.0422207 0.3627261 0.08929212
-0.04964417 0.315524 -0.09279448
-0.08497173 0.3379692 -0.01291988
-0.007326516 0.1966645 0.04953512
-0.04101362 0.3440334 0.08550006
-0.02980743 0.3729309 0.09345402
-0.02890039 0.3708507 -0.1120103
-0.04506829 0.3874739 -0.09951076
0.09434132 0.3249772 -0.02853153
0.09098083 0.3127215 -0.02758878
0.07947768 0.2774749 0.001199097
-0.04166906 0.1925972 0.02495125
0.08909573 0.288843 -0.0172458
-0.05066983 0.3316751 -0.09711699
-0.04851514 0.3017268 -0.08784716
-0.03688455 0.2558727 0.09345557
-0.04944662 0.356442 0.08449352
-0.002033216 0.2798538 0.1168246
-0.05505481 0.3433436 0.07286666
0.08366948 0.2796648 -0.008938185
-0.05488847 0.4161924 -0.06751944
0.09097642 0.297641 -0.02556887
-0.04592062 0.3735752 -0.102626
-0.04620206 0.3476055 0.08436887
0.06137336 0.2855192 -0.05610531
0.08554485 0.2816756 -0.008420354
0.09240442 0.3219036 -0.0310999
-0.005117527 0.248307 0.1096587
-0.001718557 0.3193972 0.1247518
-0.09148766 0.3309932 -0.01972796
-0.0441111 0.2807005 -0.0792731
0.07082452 0.2854093 -0.02025236
0.08025789 0.2771359 -0.001143758
