tempBuffer (v12cross):
0.01340365 -0.002004982 -0.01292244 
0.002043238 0.009971803 0.00976511 
0.02269023 -0.01484238 -0.001259187 
0.00543089 0.01025045 -0.01053422 
0.04930569 0.005493612 -0.007415351 
-0.002873266 -0.0174305 -0.0001326792 
-0.009711194 0.01470954 -0.006019899 
-0.0005321603 -0.003560966 -0.01094135 
-0.001362851 0.0153885 -0.006611977 
-0.01609166 -0.008393901 0.004603442 
0.01664291 -0.009913136 -0.006127728 
0.005357102 -0.01118342 -0.01123887 
0.007653045 -0.01461586 0.01536414 
-0.001331253 -0.002700586 0.01408068 
-0.001391824 -0.006698929 -0.00748938 
0.01715633 0.01345989 -0.009498522 
-0.0293333 0.01312525 -0.002644025 
0.01969555 0.004128383 -0.01825641 
0.003471096 -0.006490936 -0.002560561 
-0.00558196 -0.01936093 0.001085143 
-0.003148214 0.01386167 0.0009708686 
-0.002092549 -0.006364434 -0.004063744 
0.01318876 -0.004979074 -0.01357007 
-0.002762657 0.0006161911 0.01699167 
0.0003702347 0.001283639 -0.002789516 
-0.004371677 0.01669081 0.001400406 
0.01847787 0.007051006 0.01159937 
0.01087807 0.01272577 -0.01626715 
0.00315405 6.804685E-05 -0.009624742 
-0.002460139 0.005655811 -0.002766884 
0.006859725 0.00784927 0.02220922 
-0.007914234 0.001095106 -0.005351626 
0.003844704 0.01408509 0.002729918 
0.001502525 0.01383894 -0.006748328 
0.004458433 -0.02497007 0.02833262 
0.001775055 0.003640658 0.0194143 
-0.01036497 0.01548079 0.003075375 
-0.003418825 0.01055324 0.00209137 
0.01138028 -0.01002164 0.007172754 
0.004558867 -0.01893785 1.188306E-05 
-0.01004301 -0.003072638 -0.003486635 
-0.003952208 0.02779258 0.003541871 
0.004068829 0.009712841 -0.008915691 
0.01595298 -0.01472234 0.004473758 
-0.00545347 0.02017012 0.01576759 
-0.02784414 -0.01918107 -0.01503171 
0.003503218 -0.0009528854 0.006607943 
-0.01770993 0.006214118 -0.002099653 
-0.008701311 0.004289371 0.01055422 
0.003059448 -0.003573854 0.007069206 
0.007483463 -0.002612629 0.000860133 
0.01037341 0.00824989 -0.00254675 
0.005617719 0.00591452 -0.01396812 
0.002000013 -0.02102247 0.008314091 
0.001017492 -0.0391884 0.01450746 
-0.002390389 -0.002343577 0.01890807 
0.01597231 -0.01305862 0.01056576 
-0.006246501 0.0109199 0.002761211 
-0.01517962 0.005226902 0.01427418 
-0.001693409 -0.01962726 0.005066916 
-0.02362469 -0.0016705 -0.001649148 
0.001202103 -0.003600826 0.007558516 
